step,value
864,-14
865,-15
866,-14
867,-15
868,-14
869,-13
870,-12
871,-13
872,-14
873,-15
874,-16
875,-17
876,-16
877,-17
878,-18
879,-17
880,-16
881,-17
882,-16
883,-17
884,-16
885,-15
886,-16
887,-15
888,-14
889,-13
890,-14
891,-15
892,-16
893,-15
894,-16
895,-15
896,-14
897,-15
898,-14
899,-15
900,-16
901,-15
902,-16
903,-17
904,-18
905,-17
906,-18
907,-19
908,-20
909,-19
910,-18
911,-19
912,-20
913,-21
914,-22
915,-21
916,-22
917,-21
918,-22
919,-23
920,-24
921,-23
922,-24
923,-25
924,-26
925,-27
926,-28
927,-27
928,-28
929,-29
930,-30
931,-29
932,-30
933,-29
934,-28
935,-27
936,-28
937,-29
938,-30
939,-31
940,-30
941,-29
942,-30
943,-29
944,-28
945,-27
946,-26
947,-25
948,-24
949,-23
950,-24
951,-23
952,-24
953,-23
954,-22
955,-23
956,-24
957,-25
958,-24
959,-25
960,-26
961,-27
962,-26
963,-25
964,-26
965,-25
966,-24
967,-23
968,-24
969,-25
970,-24
971,-23
972,-24
973,-23
974,-22
975,-21
976,-22
977,-23
978,-22
979,-23
980,-24
981,-25
982,-24
983,-23
984,-24
985,-25
986,-24
987,-25
988,-24
989,-25
990,-24
991,-23
992,-22
993,-23
994,-22
995,-23
996,-22
997,-23
998,-22
999,-21
1000,-20
